model,feature_block,model_family,mae,rmse,r2,calibration_intercept,calibration_slope,pa_weighted_mae,pa_weighted_rmse,pa_weighted_r2,pa_weighted_calibration_intercept,pa_weighted_calibration_slope,n_observations,n_players
elastic_net:core_plus_traits,core_plus_traits,elastic_net,14.231949090915181,18.499107148143008,0.571160519433888,-0.5719109444956842,1.0059523384638203,12.563335221216695,16.244072646806377,0.6269421426086992,-0.5719109444956842,1.0059523384638203,1315,616
ridge:core_plus_traits,core_plus_traits,ridge,14.273053469180564,18.532088911530952,0.5696300141379023,1.2620238902967884,0.9868047465451291,12.608385939312072,16.27939782167318,0.625317837735454,1.2620238902967884,0.9868047465451291,1315,616
ols:core_plus_traits,core_plus_traits,ols,14.296249379292526,18.57623522160673,0.5675771558216761,3.120556236736391,0.9677060966821668,12.62570303850252,16.310495256536306,0.623885010434668,3.120556236736391,0.9677060966821668,1315,616
elastic_net:core,core,elastic_net,14.515576704680042,18.88068596998089,0.5532868228311026,-2.027528431951552,1.0210338767522062,12.92417597548784,16.639744552772875,0.6085469734561099,-2.027528431951552,1.0210338767522062,1315,616
ridge:core,core,ridge,14.522125167079674,18.871487908704648,0.5537219653171788,0.18871796975285804,0.9979752194066157,12.920693782885019,16.615938622938426,0.609666249912687,0.18871796975285804,0.9979752194066157,1315,616
ols:core,core,ols,14.565959870310383,18.897430919890223,0.5524941072685303,1.4663441430898132,0.9846149341594789,12.962231518033473,16.6354595813297,0.6087485569674502,1.4663441430898132,0.9846149341594789,1315,616
random_forest:core,core,random_forest,15.467354482307448,20.10961321968699,0.49324194472861216,-11.214604404988634,1.1181777600833032,14.036246469087038,18.13218231372284,0.535178187671396,-11.214604404988634,1.1181777600833032,1315,616
random_forest:core_plus_traits,core_plus_traits,random_forest,15.678314307617773,20.29519311623844,0.4838456380406657,-13.62353999794702,1.144026148355829,14.272723270820807,18.384477641450253,0.522152921686392,-13.62353999794702,1.144026148355829,1315,616
mean_baseline:baseline,baseline,mean_baseline,22.162722672213683,28.271061960099555,-0.0015611505930044345,477.5813639837471,-3.9999999999999254,21.265229394609477,27.44652334946774,-0.06502800032806988,477.5813639837471,-3.9999999999999254,1315,616
