feature,coefficient,std_error,ci_lower,ci_upper,p_value
const,97.05099061954084,1.666776572865661,93.78416856644904,100.31781267263264,0.0
strikeout_rate,-20.701139587471935,2.068327879565547,-24.754987739640505,-16.647291435303366,1.3966568128089124e-23
barrel_rate,14.401840430264814,1.1857629458905476,12.077787762117223,16.725893098412403,6.051315349192824e-34
squared_up_swing_rate,-9.131809728924901,8.71363233260246,-26.210215275349462,7.946595817499661,0.29464267589987525
blast_contact_rate,8.329044236093074,7.451756478174185,-6.276130082691363,22.93421855487751,0.26368275773457084
bbe_per_swing,-7.991985809435425,2.982402962957568,-13.837388204217802,-2.1465834146530467,0.007368517268187202
avg_bat_speed,-6.604009147577851,2.5419997785587216,-11.586237162261739,-1.6217811328939638,0.009377991143436333
season_2025,-5.875841540250045,1.1737401971865489,-8.176330053942621,-3.575353026557468,5.554864179311934e-07
squared_up_contact_rate,5.778005923395083,6.610006101647112,-7.1773679734232605,18.73337982021343,0.3820473553177849
whiff_rate,-5.180038041662019,5.419057374967576,-15.801195326754634,5.441119243430595,0.3391263863099332
fast_swing_rate,5.117646575359633,1.8669581125569419,1.458475914103151,8.776817236616116,0.006122112210782676
hard_hit_rate,4.791189667281275,1.6932876097254463,1.4724069367514852,8.109972397811065,0.00466180144155012
blast_swing_rate,-4.297028608301318,6.590790698247199,-17.214741006507424,8.620683789904787,0.5144175112837488
walk_rate,4.0386209766367305,1.1345672780845377,1.8149099735533962,6.262331979720065,0.00037140102188872227
swing_rate,-2.680228121159544,2.7555266960934754,-8.080961203941403,2.7205049616223147,0.33071554120295954
contact_rate,2.4390853540044444,6.186961438022451,-9.687136238257702,14.56530694626659,0.6934112928002132
swing_tilt,1.9956581332191041,0.737608295602241,0.5499724391407379,3.4413438272974703,0.006818525574851502
bats_L,1.5424697510444514,1.7351084334566853,-1.858280287802365,4.943219789891268,0.3740159794699409
season_2026,-1.539764734129648,1.3212866487996955,-4.129438979030674,1.049909510771378,0.24387632544742044
attack_angle,1.3830043335428097,1.0661086767574934,-0.7065302765075316,3.4725389435931513,0.19454684274073553
swing_length,-1.2328868438811778,0.7598633623597538,-2.7221916672778037,0.2564179795154482,0.10469392908933035
age,-1.1150171601061258,0.5501437859582123,-2.1932791669027343,-0.0367551533095174,0.042685523444592595
depth_in_box,-1.0854566638066054,0.3978617944257161,-1.865251451705488,-0.305661875907723,0.006367607635740976
swinging_strike_rate,1.064916209540037,6.3307211139929676,-11.34306917005347,13.472901589133544,0.8664148916773116
zone_contact_rate,-0.9654325221261246,1.4897567163730008,-3.8853020319438585,1.954436987691609,0.5169544862019428
bats_R,0.8184736127457448,1.7447576069739372,-2.601188458675463,4.238135684166952,0.6389949558429756
ideal_attack_angle_rate,-0.7013127784030024,0.7663342622264977,-2.2033003324860116,0.8006747756800066,0.36011153415917097
intercept_y_vs_batter,-0.6860547519180915,0.49500467471538045,-1.656246086539202,0.2841365827030189,0.16576030672103037
avg_exit_velocity,-0.640383787433625,1.9089751842252007,-4.381906395895733,3.101138821028483,0.7372785198151595
attack_direction,-0.5884942398542607,0.896767006873623,-2.346125275850345,1.1691367961418233,0.5116698168109827
intercept_y_vs_plate,0.36402692248711427,0.38278131946692645,-0.3862106776227822,1.1142645225970107,0.3416018724862835
chase_rate,-0.27725659905729705,1.3793592561513595,-2.9807510628559206,2.4262378647413265,0.8406955194057159
distance_off_plate,-0.09976849531703885,0.5780846417328972,-1.2327935731292576,1.03325658249518,0.862977973090257
avg_launch_angle,-0.09803850522205958,0.9104092037504522,-1.8824077557667338,1.6863307453226146,0.9142446187248111
