feature,importance_mean,importance_std
barrel_rate,4.67281455508668,0.1825684966054927
strikeout_rate,2.8855595711860635,0.12037083525834537
blast_swing_rate,2.7272630526841533,0.16268309828915453
walk_rate,2.4665735469562744,0.13883169441792304
hard_hit_rate,1.106373742024867,0.06077895743869028
avg_exit_velocity,0.4897968066452039,0.0248855643865917
swing_tilt,0.2912103192620399,0.018329430193363774
contact_rate,0.2786857413118618,0.02357390311627514
whiff_rate,0.23518544533906507,0.014657983365279141
swinging_strike_rate,0.22298036466402804,0.02145024532280329
squared_up_swing_rate,0.19484688513410414,0.014724178643528481
blast_contact_rate,0.17354236198723177,0.014021798257845474
attack_angle,0.12209961379480001,0.012100217148603078
avg_launch_angle,0.10611249374330231,0.007946140200655892
squared_up_contact_rate,0.10456766463183823,0.009181896053091842
distance_off_plate,0.09773325917142613,0.007884244982594206
bbe_per_swing,0.09656202207658948,0.01038396176548628
swing_length,0.0879919096766387,0.0050275609899233225
zone_contact_rate,0.0865349625170321,0.00573619975829308
ideal_attack_angle_rate,0.08319665956525979,0.004883639180566728
depth_in_box,0.08080316274549224,0.0033235050575442194
chase_rate,0.07910042512783662,0.005864000939268468
swing_rate,0.07052337436047704,0.006359087020121291
fast_swing_rate,0.07052233492520096,0.006861018788670295
avg_bat_speed,0.06754719461454775,0.0044218089532621204
age,0.06568248585975259,0.005217712557961688
intercept_y_vs_plate,0.05655771310929954,0.0038518449789242772
attack_direction,0.05627239877045076,0.003475128603181472
intercept_y_vs_batter,0.03696215588254379,0.0024642278013815916
season,0.03562495218799881,0.0035690079131183504
bats,0.019070078490655628,0.0025926713656184725
