"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Bliss, Ryan","669208","2024","71","43",0.222,0.211,0.01100000000000001,0.397,0.423,-0.025999999999999968,0.3,0.309,-0.009000000000000008
"Narváez, Omar","553882","2024","69","54",0.154,0.178,-0.023999999999999994,0.185,0.246,-0.061,0.171,0.206,-0.034999999999999976
"Haase, Eric","606992","2024","69","38",0.273,0.222,0.05100000000000002,0.515,0.471,0.04400000000000004,0.35,0.309,0.04099999999999998
"Hurtubise, Jacob","674441","2024","68","41",0.185,0.194,-0.009000000000000008,0.241,0.256,-0.015000000000000013,0.253,0.268,-0.015000000000000013
"Trejo, Alan","676701","2024","67","49",0.143,0.19,-0.047000000000000014,0.143,0.264,-0.12100000000000002,0.152,0.22,-0.068
"Shewmake, Braden","669699","2024","67","56",0.125,0.178,-0.05299999999999999,0.203,0.279,-0.07600000000000001,0.144,0.206,-0.062
"Domínguez, Jasson","691176","2024","67","37",0.179,0.202,-0.02300000000000002,0.304,0.338,-0.03400000000000003,0.285,0.309,-0.02400000000000002
"Clase, Jonatan","682729","2024","66","44",0.246,0.171,0.07499999999999998,0.328,0.251,0.07700000000000001,0.283,0.221,0.06199999999999997
"Gurriel, Yuli","493329","2024","65","41",0.241,0.256,-0.015000000000000013,0.296,0.343,-0.04700000000000004,0.289,0.324,-0.03500000000000003
"Kreidler, Ryan","668952","2024","65","40",0.119,0.167,-0.048000000000000015,0.169,0.25,-0.08099999999999999,0.177,0.231,-0.05400000000000002
"Dezenzo, Zach","701305","2024","65","40",0.242,0.222,0.01999999999999999,0.371,0.454,-0.08300000000000002,0.283,0.305,-0.02200000000000002
"Ruiz, Esteury","665923","2024","65","39",0.2,0.179,0.02100000000000002,0.382,0.35,0.03200000000000003,0.281,0.287,-0.00599999999999995
"Reyes, Pablo","622569","2024","64","41",0.183,0.208,-0.024999999999999994,0.217,0.298,-0.08099999999999999,0.207,0.249,-0.04200000000000001
"Hicks, Aaron","543305","2024","63","34",0.14,0.19,-0.04999999999999999,0.193,0.286,-0.09299999999999997,0.196,0.254,-0.057999999999999996
"Ford, Mike","645801","2024","62","45",0.15,0.205,-0.05499999999999999,0.233,0.306,-0.07299999999999998,0.18,0.237,-0.056999999999999995
"Dahl, David","621311","2024","62","38",0.207,0.205,0.0020000000000000018,0.397,0.405,-0.008000000000000007,0.273,0.277,-0.0040000000000000036
"Millas, Drew","686452","2024","62","41",0.246,0.223,0.022999999999999993,0.316,0.313,0.0030000000000000027,0.28,0.271,0.009000000000000008
"Walsh, Jared","665120","2024","60","32",0.226,0.243,-0.016999999999999987,0.321,0.411,-0.08999999999999997,0.289,0.328,-0.039000000000000035
"Paris, Kyren","677347","2024","59","34",0.118,0.18,-0.062,0.216,0.315,-0.099,0.207,0.27,-0.06300000000000003
"Hensley, David","682073","2024","58","35",0.212,0.15,0.062,0.288,0.21,0.07799999999999999,0.265,0.22,0.04500000000000001
"Rosario, Eguy","666703","2024","57","34",0.245,0.191,0.05399999999999999,0.528,0.398,0.13,0.345,0.275,0.06999999999999995
"Tucker, Cole","657061","2024","57","34",0.18,0.193,-0.013000000000000012,0.3,0.277,0.022999999999999965,0.25,0.259,-0.009000000000000008
"McCoy, Mason","669200","2024","57","33",0.204,0.202,0.001999999999999974,0.245,0.241,0.0040000000000000036,0.241,0.245,-0.0040000000000000036
"Black, Tyler","672012","2024","57","32",0.204,0.192,0.011999999999999983,0.245,0.237,0.008000000000000007,0.265,0.258,0.007000000000000006
"Marchán, Rafael","665561","2024","56","44",0.294,0.33,-0.03600000000000003,0.549,0.511,0.038000000000000034,0.382,0.387,-0.0050000000000000044
"Tromp, Chadwick","644433","2024","54","36",0.25,0.242,0.008000000000000007,0.365,0.336,0.02899999999999997,0.266,0.257,0.009000000000000008
"Romo, Drew","691011","2024","53","33",0.176,0.149,0.026999999999999996,0.235,0.206,0.028999999999999998,0.197,0.175,0.02200000000000002
"Saggese, Thomas","695336","2024","52","35",0.204,0.203,0.0009999999999999731,0.306,0.318,-0.01200000000000001,0.247,0.251,-0.0040000000000000036
"Williams, Luke","663897","2024","52","34",0.196,0.166,0.03,0.261,0.27,-0.009000000000000008,0.246,0.237,0.009000000000000008
"Hinds, Rece","677956","2024","51","30",0.261,0.246,0.015000000000000013,0.717,0.627,0.08999999999999997,0.433,0.394,0.03899999999999998
"García, Avisaíl","541645","2024","51","37",0.24,0.252,-0.01200000000000001,0.38,0.421,-0.04099999999999998,0.274,0.303,-0.02899999999999997
"Shenton, Austin","668853","2024","50","28",0.214,0.199,0.014999999999999986,0.405,0.3,0.10500000000000004,0.33,0.291,0.039000000000000035
"Pinto, René","650907","2024","49","26",0.214,0.187,0.026999999999999996,0.429,0.483,-0.05399999999999999,0.31,0.335,-0.025000000000000022
"Cook, Billy","695257","2024","49","30",0.224,0.219,0.0050000000000000044,0.449,0.437,0.01200000000000001,0.285,0.278,0.006999999999999951
"Locklear, Tyler","682988","2024","49","25",0.156,0.146,0.010000000000000009,0.311,0.278,0.032999999999999974,0.238,0.222,0.015999999999999986
"Vilade, Ryan","668723","2024","49","35",0.178,0.228,-0.05000000000000002,0.244,0.315,-0.07100000000000001,0.2,0.251,-0.05099999999999999
"Baker, Luken","663609","2024","49","31",0.175,0.188,-0.013000000000000012,0.4,0.357,0.04300000000000004,0.294,0.299,-0.0050000000000000044
"Wendzel, Davis","673995","2024","49","35",0.128,0.198,-0.07,0.234,0.389,-0.155,0.176,0.269,-0.09300000000000003
"Campero, Gustavo","672569","2024","48","38",0.239,0.229,0.009999999999999981,0.348,0.306,0.04199999999999998,0.271,0.259,0.01200000000000001
"Bote, David","623520","2024","48","33",0.304,0.245,0.059,0.391,0.354,0.03700000000000003,0.317,0.283,0.03400000000000003
"Westbrook, Jamie","642197","2024","48","28",0.15,0.217,-0.067,0.35,0.41,-0.06,0.252,0.308,-0.055999999999999994
"Jones, Jahmai","663330","2024","47","27",0.238,0.189,0.04899999999999999,0.381,0.329,0.05199999999999999,0.302,0.266,0.035999999999999976
"Whitcomb, Shay","694376","2024","46","33",0.22,0.276,-0.05600000000000002,0.293,0.416,-0.123,0.272,0.341,-0.069
"Mayo, Coby","691723","2024","46","19",0.098,0.17,-0.07200000000000001,0.098,0.203,-0.10500000000000001,0.152,0.222,-0.07
"Moncada, Yoán","660162","2024","45","29",0.275,0.265,0.010000000000000009,0.4,0.351,0.049000000000000044,0.333,0.316,0.017000000000000015
"Berroa, Steward","672642","2024","45","23",0.189,0.144,0.04500000000000001,0.216,0.191,0.024999999999999994,0.268,0.243,0.025000000000000022
"Foscue, Justin","679822","2024","44","24",0.048,0.103,-0.05499999999999999,0.071,0.151,-0.08,0.08,0.137,-0.05700000000000001
"Zavala, Seby","664874","2024","43","24",0.154,0.177,-0.022999999999999993,0.282,0.369,-0.08700000000000002,0.221,0.261,-0.04000000000000001
"Yorke, Nick","694377","2024","42","26",0.216,0.279,-0.06300000000000003,0.378,0.511,-0.133,0.289,0.379,-0.09000000000000002
"White, Eli","642201","2024","42","27",0.282,0.204,0.07799999999999999,0.436,0.343,0.09299999999999997,0.335,0.27,0.065
"Rodríguez, Johnathan","671286","2024","40","17",0.129,0.134,-0.0050000000000000044,0.161,0.157,0.0040000000000000036,0.253,0.26,-0.007000000000000006
"Ornelas, Jonathan","680716","2024","40","25",0.216,0.225,-0.009000000000000008,0.27,0.278,-0.008000000000000007,0.235,0.246,-0.01100000000000001
"Pereda, Jhonny","640902","2024","40","29",0.231,0.231,0,0.231,0.311,-0.07999999999999999,0.216,0.255,-0.03900000000000001
"Acuña, Luisangel","682668","2024","40","33",0.308,0.264,0.043999999999999984,0.641,0.428,0.21300000000000002,0.406,0.307,0.09900000000000003
"Remillard, Zach","621545","2024","39","24",0.242,0.226,0.015999999999999986,0.333,0.317,0.016000000000000014,0.305,0.301,0.0040000000000000036
"Alvarez, Armando","669137","2024","39","29",0.243,0.265,-0.02200000000000002,0.27,0.344,-0.07399999999999995,0.248,0.289,-0.04099999999999998
"Colás, Oscar","693049","2024","38","23",0.273,0.248,0.025000000000000022,0.273,0.289,-0.01599999999999996,0.3,0.299,0.0010000000000000009
"Murphy, Tom","608596","2024","38","20",0.118,0.15,-0.032,0.235,0.323,-0.08800000000000002,0.206,0.253,-0.047000000000000014
"Sabol, Blake","666165","2024","38","23",0.313,0.244,0.069,0.375,0.398,-0.02300000000000002,0.352,0.33,0.021999999999999964
"Adams, Jordyn","677941","2024","38","23",0.229,0.254,-0.024999999999999994,0.314,0.382,-0.068,0.271,0.308,-0.03699999999999998
"Wendle, Joey","621563","2024","37","27",0.222,0.222,0,0.25,0.307,-0.056999999999999995,0.219,0.247,-0.027999999999999997
"Driscoll, Logan","686482","2024","37","30",0.171,0.225,-0.05399999999999999,0.257,0.357,-0.09999999999999998,0.193,0.267,-0.07400000000000001
"Villar, David","681584","2024","37","23",0.257,0.222,0.035,0.457,0.439,0.018000000000000016,0.305,0.319,-0.014000000000000012
"Amador, Adael","691182","2024","36","29",0.171,0.244,-0.07299999999999998,0.2,0.344,-0.14399999999999996,0.176,0.271,-0.09500000000000003
"Sanoja, Javier","691594","2024","36","31",0.229,0.219,0.010000000000000009,0.286,0.275,0.010999999999999954,0.236,0.231,0.004999999999999977
"Wall, Forrest","657088","2024","35","24",0.25,0.196,0.05399999999999999,0.25,0.261,-0.01100000000000001,0.261,0.244,0.017000000000000015
"Díaz, Aledmys","649557","2024","34","24",0.091,0.197,-0.10600000000000001,0.091,0.236,-0.145,0.098,0.206,-0.10799999999999998
"Goodrum, Niko","592348","2024","33","20",0.103,0.169,-0.06600000000000002,0.103,0.255,-0.15200000000000002,0.147,0.232,-0.08500000000000002
"Pauley, Graham","688363","2024","32","17",0.125,0.172,-0.046999999999999986,0.313,0.324,-0.01100000000000001,0.183,0.214,-0.031
"Blankenhorn, Travis","663905","2024","32","22",0.129,0.172,-0.04299999999999998,0.161,0.252,-0.091,0.143,0.204,-0.061
"Alvarez Jr., Nacho","805373","2024","32","20",0.1,0.174,-0.07399999999999998,0.1,0.225,-0.125,0.128,0.211,-0.08299999999999999
"Salazar, César","663967","2024","32","22",0.32,0.323,-0.0030000000000000027,0.4,0.378,0.02200000000000002,0.343,0.34,0.0030000000000000027
"Gray, Tristan","656484","2024","31","12",0.107,0.17,-0.06300000000000001,0.143,0.19,-0.047000000000000014,0.164,0.211,-0.046999999999999986
"De Los Santos, Luis","665782","2024","31","19",0.172,0.185,-0.013000000000000012,0.241,0.233,0.00799999999999998,0.211,0.22,-0.009000000000000008
"Vosler, Jason","613564","2024","30","19",0.179,0.229,-0.05000000000000002,0.286,0.434,-0.14800000000000002,0.229,0.307,-0.07799999999999999
"Brooks, Trenton","670092","2024","29","19",0.12,0.174,-0.05399999999999999,0.12,0.291,-0.17099999999999999,0.186,0.267,-0.08100000000000002
"Dunn, Blake","694362","2024","29","15",0.154,0.158,-0.0040000000000000036,0.308,0.301,0.007000000000000006,0.247,0.245,0.0020000000000000018
