"id","name","swings_competitive","percent_swings_competitive","contact","avg_bat_speed","hard_swing_rate","squared_up_per_bat_contact","squared_up_per_swing","blast_per_bat_contact","blast_per_swing","swing_length","swords","batter_run_value","whiffs","whiff_per_swing","batted_ball_events","batted_ball_event_per_swing"
519317,"Stanton, Giancarlo",448,0.9068825910931174,283,"80.620201027",0.9732142857142857,0.3003533568904594,0.18973214285714285,0.26148409893992935,0.16517857142857142,"8.788955402",4,9.009905652351708,165,0.36830357142857145,141,0.31473214285714285
665833,"Cruz, Oneil",816,0.9056603773584906,551,"78.784484449",0.7830882352941175,0.32304900181488205,0.2181372549019608,0.24682395644283123,0.16666666666666666,"7.76323761",19,-21.54716855606913,265,0.3247549019607843,270,0.33088235294117646
691406,"Caminero, Junior",1091,0.9068994181213632,839,"78.537769633",0.8111824014665446,0.2908224076281287,0.2236480293308891,0.22407628128724671,0.17231897341888175,"8.418545628",21,2.0417289334147357,252,0.230980751604033,427,0.3913840513290559
656180,"Adams, Riley",500,0.9041591320072333,341,"78.30455994",0.792,0.23460410557184752,0.16,0.18181818181818182,0.124,"7.85196294",14,-22.656717311953496,159,0.318,148,0.296
691023,"Walker, Jordan",686,0.9050131926121372,465,"78.069257522",0.7784256559766765,0.26666666666666666,0.18075801749271136,0.2,0.13556851311953352,"8.258906224",21,-19.14626067890869,221,0.32215743440233235,231,0.336734693877551
678877,"Noel, Jhonkensy",306,0.9134328358208955,212,"77.867274118",0.7320261437908497,0.20754716981132076,0.1437908496732026,0.1320754716981132,0.0915032679738562,"7.534005654",6,-15.190353768658298,94,0.30718954248366015,91,0.2973856209150327
666176,"Adell, Jo",1032,0.9028871391076115,779,"77.613888062",0.7335271317829457,0.26187419768934533,0.19767441860465115,0.19127086007702182,0.14437984496124032,"7.728556453",30,0.667368437813085,253,0.2451550387596899,354,0.3430232558139535
695506,"Caglianone, Jac",392,0.9095127610208816,297,"77.409733367",0.7346938775510204,0.25925925925925924,0.19642857142857142,0.19865319865319866,0.15051020408163265,"7.623754464",4,-22.766060823040515,95,0.2423469387755102,146,0.37244897959183676
656941,"Schwarber, Kyle",1138,0.9003164556962026,807,"77.316244517",0.7706502636203867,0.322180916976456,0.22847100175746923,0.24659231722428748,0.17486818980667837,"7.530869815",51,11.199153320743234,331,0.29086115992970124,385,0.3383128295254833
671286,"Rodríguez, Johnathan",123,0.9111111111111111,76,"77.272999919",0.6747967479674799,0.3815789473684211,0.23577235772357724,0.27631578947368424,0.17073170731707318,"8.068561626",3,-3.1035130544703913,47,0.3821138211382114,47,0.3821138211382114
