"id","name","side","avg_bat_speed","swing_tilt","attack_angle","attack_direction","ideal_attack_angle_rate","avg_intercept_y_vs_plate","avg_intercept_y_vs_batter","avg_batter_y_position","avg_batter_x_position","competitive_swings"
691406,"Caminero, Junior","R","79.831139349",24.285418485032633,8.143646898413872,-5.943411521505749,0.6201550387596899,9.969911515013704,37.57440189132412,27.604490376310423,29.105515905395997,645
519317,"Stanton, Giancarlo","R","79.335077806",27.22966384187111,11.64019573395767,-0.8618808976047854,0.7225806451612905,-1.610828031638652,24.826678215106572,26.43750624674523,34.795655287515345,155
691023,"Walker, Jordan","R","79.182003701",30.03247765889398,7.617276196061076,-5.169792230231355,0.5296610169491524,4.666977990816113,31.358316493026095,26.69133850220999,32.173112113082276,708
665833,"Cruz, Oneil","L","78.461901745",33.185598749703416,7.8449611082998585,-6.558075658353373,0.4340044742729307,6.588365295589291,34.623835625465446,28.035470329876166,26.5751906438879,447
701762,"Kurtz, Nick","L","78.290446517",37.710881544857344,12.824895706996191,4.301030717694317,0.5040128410914929,0.9030552391895865,23.84967859956236,22.946623360372772,29.27297108146286,623
682987,"Jones, Spencer","L","77.91303933",43.45955974437032,11.964624945480285,1.4521583445300579,0.424581005586592,0.171597880672391,20.393208759565237,20.221610878892843,28.304961823038525,179
665856,"Camargo, Jair","R","77.7574275",33.35878130050435,13.145524180524662,-15.5204381343362,1,5.8224973754714,37.684221127151055,31.861723751679662,26.415757874169348,4
682989,"Mederos, Victor","R","77.55225",23.349018928623316,22.210625955214564,-19.134719080120554,0.5,27.613444298534205,46.84013119357865,19.226686895044445,23.85218666006088,2
669003,"Mitchell, Garrett","L","77.406512096",30.99628825570926,9.970400258357342,6.5481408137768815,0.6134615384615386,-0.9716949724120619,28.676440492710682,29.64813546512275,29.023900804961706,520
701358,"Smith, Cam","R","77.37765205",33.066101728434575,10.796087042556374,-5.119908946802948,0.46428571428571425,3.095981769711578,32.97480074309066,29.87881897337909,31.32921758208321,644
695506,"Caglianone, Jac","L","77.335023834",30.390553607321316,10.064985293362238,-1.6090207220490782,0.4444444444444445,7.369009817040636,29.67898468448964,22.309974867449007,29.981013140821634,639
